,Unnamed: 0,tweet_id,date,text,user,preproc
146,146,1531971483873988609,2022-06-01 12:10:39+00:00,"@2bernardo1 @naruteirarabuda sim, aula passada eu fazendo o sistema em python pra vcs",iurifantastico,bernardo naruteirarabuda aula passar fazer python pra vcs
147,147,1531970194075181058,2022-06-01 12:05:31+00:00,"Hoje eu sonhei que tinha um python (a cobra) dentro do gabinete do meu computador, acho que preciso trocar de linguagem de programação",POCmoona,hoje sonhar ter python cobrar gabinete computador achar precisar trocar linguagem programação
148,148,1531964556607733764,2022-06-01 11:43:07+00:00,"Tem um aluno meu que curte muito programação, ta aprendendo Python pelo youtube e tal.
To dando método de Cramer na sala dele, matéria difícil pacas, no final da aula hoje o muleque me apareceu com um código pronto pra calcular os determinantes pra ele. Menino vai longe viu.",monogabri,alunar curtir programação ta aprender python youtube to dar método cramer sala dele matéria difícil paca aula hoje muleque aparecer código pronto pra calcular determinante pra menino ver
149,149,1531960195491975169,2022-06-01 11:25:47+00:00,"Galera de Teresina e Região #Vumbora
#Python #Teresina #PUGPI #Piaui
PUG-PI 2022 https://t.co/N9fMZXu4lq https://t.co/bYjikbNS8T",pyhygor,galera teresina região vumbora python teresina pugpi piaui pug pi https t co n fmzxu lq https t co byjikbns t
150,150,1531957646978338818,2022-06-01 11:15:40+00:00,"@Dafeol @ivorafael @LINUXtipsBR exato, o Expert é um pacote com os 4 modulos.

Sim, o objetivo é passar o conhecimento necessário para que você consiga desenvolver um programa Python do zero.

No BASE é um programa de terminal (+ demonstração de game e desktop)

No Web um site + API",rochacbruno,dafeol ivorafael linuxtipsbr exato expert pacote modulos objetivo passar conhecimento necessário conseguir desenvolver programar python base programar terminal demonstração gamar desktop web site api
151,151,1531955928836329475,2022-06-01 11:08:50+00:00,"@rochacbruno @ivorafael @LINUXtipsBR Bruno, obrigado pela atenção. Então resumindo, o Python expert tem o mesmo conteúdo, dos módulos separados, ou seja, é um ""pacote"", certo? Outra dúvida, o conhecimento ministrado me daria suporte suficiente para desenvolver um programa/aplicação completo, multiplaforma, sozinho?",Dafeol,rochacbruno ivorafael linuxtipsbr brunir atenção resumir python expert conteúdo módulo separar ser pacote certar dúvida conhecimento ministrar dar suportar suficiente desenvolver programar aplicação completar multiplaforma só
152,152,1531952797654175746,2022-06-01 10:56:23+00:00,"@Devanil @FelippeRegazio toda essa coisa de ciências de dados em python que o pessoal tanto fala hoje, já havia muita gente fazendo o mesmo no excel com VBA a muito tempo",GuicoelhoDev,devanil felipperegazio ciência dar python pessoal falir hoje haver muito gente fazer excel vba
153,153,1531948483900493829,2022-06-01 10:39:15+00:00,@RamonVLima tmb mas só quando preciso hospedar um arquivo php no mais eu uso node ou python,Bru_unu,ramonvlima tmb precisar hospedar arquivar php usar node python
154,154,1531941242170490896,2022-06-01 10:10:28+00:00,"Gente, mandem aqui vagas de estágio. Preferencialmente Data Science (python).

Se for presencial (quase todos os estágios são), tem que ser na cidade do RJ ou região metropolitana. Agradeço.

cc @sseraphini",nyxstn,gente mandar vago estágio datar science python presencial quase estágio cidade rj região metropolitano agradecer c sseraphini
155,155,1531936250151804930,2022-06-01 09:50:38+00:00,Quando eu digo que você pode estudar/trabalhar com Python durante 20 anos e ainda ter coisas a aprender. https://t.co/XsBSN9qYps,rochacbruno,dizer estudar trabalhar python durante ano coisa aprender https t co xsbsn qyps
156,156,1531935989110808576,2022-06-01 09:49:36+00:00,"@Cardoso @letspoker Não sei exatamente o que tu precisa, mas olha isso aí:
https://t.co/ZV4eVpPxsl
Não é Python, mas uma combinação de coisas em shell com javascript (rodando em Node).",misaelbr,cardoso letspoker exatamente preciso olhar https t co zv evppxsl python combinação coisa shell javascript rodar node
157,157,1531926735901581314,2022-06-01 09:12:50+00:00,"@0xDEADBEEFCAFE @rochacbruno @FawlerRobert @rennerocha @luizouguilherme Exato, em 10 anos uma pessoa pode passar por muitos frameworks, projetos, soluções.
Como o @rochacbruno citou diversos, é muito coisa de RH pedir tanto tempo em um único, talvez um ""10 anos de dev web Python"" fizesse mais sentido.",meszias,xdeadbeefcafe rochacbruno fawlerrobert rennerocha luizouguilherme exato ano pessoa passar frameworks projetos solução rochacbruno citar diverso rh pedir único ano dev web python fazer sentir
